image_path,true_label,predicted_label,predicted_probability
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard849.jpg,cardboard,paper,0.5253393054008484
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/clothes/clothes3656.jpg,clothes,trash,0.9945374131202698
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/battery/battery708.jpg,battery,cardboard,0.8726001381874084
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/white-glass/white-glass122.jpg,white-glass,plastic,0.852952241897583
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass115.jpg,brown-glass,metal,0.7585253715515137
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/white-glass/white-glass142.jpg,white-glass,metal,0.6946883201599121
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/trash/trash657.jpg,trash,shoes,0.8816875219345093
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass460.jpg,brown-glass,shoes,0.6271195411682129
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/battery/battery48.jpg,battery,metal,0.8642691969871521
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/trash/trash548.jpg,trash,clothes,0.8457587361335754
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass161.jpg,brown-glass,green-glass,0.864546537399292
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/paper/paper647.jpg,paper,cardboard,0.9787988662719727
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/plastic/plastic328.jpg,plastic,white-glass,0.5297420620918274
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/plastic/plastic342.jpg,plastic,paper,0.8542805910110474
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass227.jpg,brown-glass,metal,0.4722398519515991
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/plastic/plastic500.jpg,plastic,clothes,0.9067707657814026
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/plastic/plastic9.jpg,plastic,white-glass,0.6564404368400574
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/shoes/shoes1826.jpg,shoes,clothes,0.9999947547912598
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/plastic/plastic781.jpg,plastic,white-glass,0.821331262588501
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/plastic/plastic819.jpg,plastic,white-glass,0.6089240908622742
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/biological/biological654.jpg,biological,metal,0.6482025980949402
/kaggle/input/datasets/mostafaabla/garbage-classification/garbage_classification/paper/paper782.jpg,paper,cardboard,0.5405523777008057
